cell/mut	ADH7	ANP32A-IT1	APOOL	ARAF	BRWD3	BTBD11	BTN3A1	C17orf76-AS1	C1QL4	C1R	CCDC15	CCDC97	CES3	COBLL1	COL5A2	CP	CPEB2	CUX1	DDX19A	DFNB31	DGCR8	DOCK5	DOCK5	DST	F5	FAM47B	FAT1	FGD6	FGF3	FRZB	GALNT13	GJA5	IARS2	IKBKB	IL1RL1	ITPKB	KLRF1	KRAS	LEPROT	LINC00602	MANBA	MATR3	MAU2	NAMPT	NBPF10	NHS	NOM1	OR6B3	PAK7	PER2	PLK2	PNCK	PPM1F	PPP1R3E	PPP4R4	RAPGEF5	RNF180	SDPR	SEMA6A	SERPINA1	SERPINB11	SH3BP1	SIGLEC11	SLC7A9	SORL1	SRGN	SYN1,TIMP1	TBX22	THRAP3	TMEM87A	TRHR	TSHZ2	TSIX	TUG1	VAX1	VWDE	ZNF568	ZNF813
cell82	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell83	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell84	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell85	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell86	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell87	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell88	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell89	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell90	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell91	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell92	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell93	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell94	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell95	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell96	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell97	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell98	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell99	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell100	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell101	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell102	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell103	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell104	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell105	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell106	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell107	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell108	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell109	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell110	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell111	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell112	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell113	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell114	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell115	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell116	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell117	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell118	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell119	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell120	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell121	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell122	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell123	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell124	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell125	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell126	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell127	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell128	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell129	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell130	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell131	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell132	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell133	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell134	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell135	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell136	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell137	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell138	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell139	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell140	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell141	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell142	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell143	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
