	FN	FP
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.156	0.000111
simNo_2-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.258	0.000100
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.168	0.000093
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.269	0.000099
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.154	0.000090
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.218	0.000098
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.169	0.000095
simNo_2-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.238	0.000110
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.155	0.000100
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.249	0.000108
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.146	0.000096
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.228	0.000102
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.139	0.000096
simNo_3-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.281	0.000119
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.107	0.000125
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.252	0.000093
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.145	0.000107
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.224	0.000092
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.130	0.000084
simNo_3-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.243	0.000103
simNo_3-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.138	0.000122
simNo_3-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.242	0.000105
simNo_3-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.161	0.000081
simNo_3-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.255	0.000092
simNo_3-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.156	0.000100
simNo_3-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.220	0.000108
simNo_4-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.170	0.000101
simNo_4-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.272	0.000088
simNo_4-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.161	0.000097
simNo_4-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.216	0.000099
simNo_4-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.151	0.000092
simNo_4-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.290	0.000107
simNo_4-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.154	0.000101
simNo_4-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.253	0.000089
simNo_4-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.163	0.000098
simNo_4-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.272	0.000105
simNo_4-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.115	0.000090
simNo_4-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.291	0.000099
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.139	0.000104
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.274	0.000092
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.152	0.000112
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.285	0.000103
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.157	0.000093
simNo_4-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.264	0.000090
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.169	0.000102
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.181	0.000109
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.164	0.000089
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.234	0.000100
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.135	0.000086
simNo_5-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.226	0.000107
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.161	0.000105
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.241	0.000109
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.176	0.000110
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.244	0.000097
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.166	0.000098
simNo_5-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.231	0.000105
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.139	0.000096
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.269	0.000113
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.145	0.000072
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.268	0.000105
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.175	0.000112
simNo_5-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.244	0.000115
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.172	0.000097
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.292	0.000096
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.139	0.000112
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.235	0.000089
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.147	0.000099
simNo_6-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.299	0.000104
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.197	0.000089
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.280	0.000099
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.149	0.000110
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.244	0.000095
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.150	0.000084
simNo_6-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.273	0.000088
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.170	0.000111
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.265	0.000110
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.152	0.000112
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.248	0.000125
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.158	0.000092
simNo_6-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.240	0.000100
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.141	0.000088
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.272	0.000110
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.144	0.000094
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.208	0.000090
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.152	0.000098
simNo_7-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.238	0.000104
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.153	0.000112
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.259	0.000081
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.180	0.000081
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.268	0.000083
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.154	0.000111
simNo_7-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.209	0.000086
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.162	0.000098
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.235	0.000094
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.150	0.000093
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.219	0.000096
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.109	0.000116
simNo_7-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.250	0.000115
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.155	0.000107
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.243	0.000088
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.154	0.000102
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.239	0.000101
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.155	0.000099
simNo_8-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.255	0.000074
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.159	0.000107
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.265	0.000081
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.174	0.000091
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.243	0.000102
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.145	0.000098
simNo_8-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.270	0.000112
simNo_8-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.165	0.000090
simNo_8-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.259	0.000105
simNo_8-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.141	0.000081
simNo_8-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.248	0.000084
simNo_8-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.183	0.000103
simNo_8-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.233	0.000101
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.140	0.000098
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.213	0.000099
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.154	0.000090
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.261	0.000106
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.149	0.000084
simNo_9-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.193	0.000094
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.169	0.000087
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.238	0.000090
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.163	0.000106
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.253	0.000106
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.141	0.000083
simNo_9-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.283	0.000120
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.142	0.000096
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.262	0.000103
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.135	0.000110
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.227	0.000092
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.147	0.000101
simNo_9-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.225	0.000106
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.165	0.000105
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.271	0.000122
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.143	0.000100
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.220	0.000075
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.160	0.000103
simNo_10-n_100-m_40-s_4-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.236	0.000097
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.154	0.000096
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.219	0.000086
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.155	0.000097
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.227	0.000101
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.162	0.000101
simNo_10-n_100-m_40-s_7-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.277	0.000116
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.15-fp_0.0001-na_0.15	0.153	0.000103
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_0-fn_0.25-fp_0.0001-na_0.15	0.247	0.000111
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.15-fp_0.0001-na_0.15	0.152	0.000098
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_1-fn_0.25-fp_0.0001-na_0.15	0.246	0.000098
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.15-fp_0.0001-na_0.15	0.124	0.000109
simNo_10-n_100-m_40-s_10-minVAF_0.05-cov_10000-k_2-fn_0.25-fp_0.0001-na_0.15	0.256	0.000087
